"","ind_70_final","ind_80","occ_70_final","occ_80"
"83986",709,710,271,255
"4987",48,41,495,549
"73342",658,631,283,265
"52034",429,432,245,243
"40848",338,171,455,824
"11776",69,60,512,583
"67099",628,601,310,276
"19214",158,282,680,783
"74069",668,640,245,243
"19843",168,300,602,785
"58826",539,530,372,313
"114646",858,850,902,449
"89375",748,742,225,33
"67944",628,601,305,337
"88405",729,730,23,59
"124076",927,910,964,418
"106601",857,842,142,156
"111360",857,842,916,444
"61411",607,580,753,883
"37461",317,142,663,744
"44982",369,192,152,217
"66714",628,601,310,276
"125005",937,910,960,425
"90878",757,751,473,505
"23991",187,320,45,73
"106326",849,841,372,313
"114091",858,850,114,118
"102252",838,831,902,449
"7964",68,60,680,783
"11171",69,60,430,575
"61799",608,530,372,313
"117158",877,880,185,186
"54672",467,460,430,575
"1626",17,10,802,475
"35748",297,121,604,754
"110208",857,842,912,436
"4338",19,21,233,13
"15058",118,242,415,567
"71052",648,621,623,885
"66039",628,601,762,877
"92930",769,761,755,486
"105031",839,832,925,447
"125857",937,910,372,313
"37567",317,142,672,738
"113147",857,842,240,14
"112128",857,842,144,157
"115718",858,850,140,154
"92864",769,761,984,407
"40648",328,160,690,777
"29717",377,200,755,486
"97121",789,782,310,276
"80290",697,682,303,339
"90932",757,751,285,263
"114213",858,850,140,154
"51731",427,421,441,633
"7893",68,60,372,303
"83552",708,702,310,276
"80225",689,681,705,805
"35061",287,111,753,883
"86437",718,712,245,448
"126142",937,901,395,379
"53645",448,441,552,529
"76396",669,641,230,19
"94383",777,762,372,313
"63763",609,591,283,274
"14510",109,241,690,728
"17850",148,272,4,64
"9544",69,60,305,337
"11456",69,60,436,853
"47574",407,400,226,823
"91978",769,761,984,407
"8406",68,60,751,869
"76879",669,641,755,486
"3153",17,10,822,479
"29501",227,362,1,23
"73765",667,632,305,337
"10159",69,60,510,579
"35508",289,120,310,276
"89103",739,740,345,303
"15928",127,251,220,19
"86583",718,712,903,453
"63517",609,591,310,276
"57630",527,550,690,777
"113706",858,850,372,313
"35658",297,121,770,889
"2516",17,10,822,479
"33109",289,120,245,19
